"","location_name","total_population","total_commuters","less_than_5_min","5_to_9_min","10_to_14_min","15_to_19_min","20_to_24_min","25_to_29_min","30_to_34_min","35_to_39_min","40_to_44_min","45_to_59_min","60_to_89_min","90_or_more_min","urban_area","median_commuter_number","median_commute_bins","median_commute_bin_number","percent_more_than_hour","percent_more_than_90"
"265","Murfreesboro, TN Urbanized Area (2010)",159887,80610,892,7165,12214,14105,13145,4715,8965,3044,2480,7241,6213,431,"60733",40306,"20_to_24_min",8,8,1
"307","Portland, OR--WA Urbanized Area (2010)",2028282,964476,18096,76645,114357,151787,148188,76593,139465,35777,45721,81164,54684,21999,"71317",482238,"20_to_24_min",8,8,2
"308","Port St. Lucie, FL Urbanized Area (2010)",416124,161848,3235,11727,22916,26028,22236,8133,23378,5071,5841,19583,10098,3602,"71479",80924,"20_to_24_min",8,8,2
"313","Providence, RI--MA Urbanized Area (2010)",1206706,559622,13931,54038,84608,94646,89784,37952,66620,17310,19784,35582,27513,17854,"72505",279812,"20_to_24_min",8,8,3
"385","Tampa--St. Petersburg, FL Urbanized Area (2010)",2663845,1138871,20521,89800,152687,166193,182066,68982,169613,40189,54571,106811,65210,22228,"86599",569436,"20_to_24_min",8,8,2
"415","Waterbury, CT Urbanized Area (2010)",192420,84695,3897,8299,13197,15437,8147,5613,9664,2796,3499,7765,3334,3047,"92485",42348,"20_to_24_min",8,8,4
"438","Zephyrhills, FL Urbanized Area (2010)",65582,19862,1087,3247,2866,1842,2423,718,1590,1173,906,2430,865,715,"98182",9932,"20_to_24_min",8,8,4
"292","Palm Coast--Daytona Beach--Port Orange, FL Urbanized Area (2010)",371500,133218,2943,12279,26887,27471,18294,6180,14463,2825,4100,7703,6954,3119,"67134",66610,"15_to_19_min",7,8,2
"419","Weirton--Steubenville, WV--OH--PA Urbanized Area (2010)",70392,29035,1602,5237,5156,3532,2225,1067,2083,1479,1784,2661,1405,804,"93592",14518,"15_to_19_min",7,8,3
"287","Orlando, FL Urbanized Area (2010)",1718406,784710,9772,47763,85263,111675,116259,66004,144745,34430,34665,79912,37153,17069,"65863",392356,"25_to_29_min",9,7,2
"4","Aguadilla--Isabela--San Sebastian, PR Urbanized Area (2010)",280302,71668,3095,10680,9690,10827,9318,6072,6547,3891,3167,3374,2877,2130,"00631",35834,"20_to_24_min",8,7,3
"29","Austin, TX Urbanized Area (2010)",1607497,793158,17471,53946,95210,137287,126699,58078,120767,23951,38401,68475,38631,14242,"04384",396580,"20_to_24_min",8,7,2
"34","Baton Rouge, LA Urbanized Area (2010)",626049,285242,5460,25619,40569,47106,54348,18251,41660,5728,7609,19625,13200,6067,"05680",142622,"20_to_24_min",8,7,2
"60","Camarillo, CA Urbanized Area (2010)",74819,35870,627,4565,5722,4806,7179,2284,4466,1047,1306,1277,1630,961,"12754",17936,"20_to_24_min",8,7,3
"76","Clarksville, TN--KY Urbanized Area (2010)",173411,81222,3442,8094,11001,16556,14471,4343,10108,1883,1287,4339,4559,1139,"17317",40612,"20_to_24_min",8,7,1
"103","Denver--Aurora, CO Urbanized Area (2010)",2657289,1304975,22419,86861,141049,197753,211298,102161,231101,47939,57686,119564,67600,19544,"23527",652488,"20_to_24_min",8,7,1
"118","El Paso de Robles (Paso Robles)--Atascadero, CA Urbanized Area (2010)",68324,32968,1479,4631,6321,3798,3298,2819,3865,1233,1681,1634,1344,865,"27261",16484,"20_to_24_min",8,7,3
"196","Kenosha, WI--IL Urbanized Area (2010)",124757,59059,1407,9034,8470,9768,7020,3198,7151,1266,2295,5231,3607,612,"44506",29530,"20_to_24_min",8,7,1
"218","Leesburg--Eustis--Tavares, FL Urbanized Area (2010)",144087,47576,1563,6362,5999,9626,4648,3652,4504,1248,2368,4332,2546,728,"48799",23788,"20_to_24_min",8,7,2
"228","Longmont, CO Urbanized Area (2010)",97360,44335,2205,4393,8049,6972,6188,2897,4831,1348,2370,2184,2740,158,"51175",22168,"20_to_24_min",8,7,0
"272","Nashville-Davidson, TN Urbanized Area (2010)",1074972,520580,9140,42401,57805,80070,81147,37723,94239,17255,18798,47750,26122,8130,"61273",260290,"20_to_24_min",8,7,2
"275","New Haven, CT Urbanized Area (2010)",561897,270645,4844,28761,46770,47715,43019,16677,35532,6050,8230,15311,12007,5729,"62407",135323,"20_to_24_min",8,7,2
"276","New Orleans, LA Urbanized Area (2010)",962389,425444,9955,35629,57343,74921,74194,28390,67824,10030,12198,26290,18167,10503,"62677",212722,"20_to_24_min",8,7,2
"299","Phoenix--Mesa, AZ Urbanized Area (2010)",3994104,1735574,37052,140968,204351,265381,286458,135438,270925,58611,75038,140366,91911,29075,"69184",867788,"20_to_24_min",8,7,2
"300","Pittsburgh, PA Urbanized Area (2010)",1743372,821351,22336,74785,102870,116928,116845,58563,116964,34167,40092,76893,47008,13900,"69697",410676,"20_to_24_min",8,7,2
"331","Sacramento, CA Urbanized Area (2010)",1846331,767933,11206,56107,99444,122953,127247,55968,125351,25587,32725,54496,31995,24854,"77068",383967,"20_to_24_min",8,7,3
"344","San Diego, CA Urbanized Area (2010)",3172773,1430727,20230,101176,189468,243038,243211,106825,225834,43129,58930,101035,68440,29411,"78661",715364,"20_to_24_min",8,7,2
"346","San German--Cabo Rojo--Sabana Grande, PR Urbanized Area (2010)",112496,27728,1214,1059,3738,4220,4971,1335,4948,578,1306,2371,617,1371,"78985",13864,"20_to_24_min",8,7,5
"417","Watsonville, CA Urbanized Area (2010)",82027,34951,804,2698,4898,7888,4992,1415,3793,1139,1756,3255,1619,694,"92890",17476,"20_to_24_min",8,7,2
