"","location_name","total_population","total_commuters","less_than_5_min","5_to_9_min","10_to_14_min","15_to_19_min","20_to_24_min","25_to_29_min","30_to_34_min","35_to_39_min","40_to_44_min","45_to_59_min","60_to_89_min","90_or_more_min","state","puma","median_commuter_number","median_commute_bins","median_commute_bin_number","percent_more_than_hour","percent_more_than_90"
"9","Clark, Jasper, Crawford, Lawrence, Richland, Clay & Wayne Counties PUMA; Illinois",105503,43189,4688,7446,7100,5816,4716,1539,4567,1040,1164,3027,1303,783,"17","00700",21595,"15_to_19_min",7,5,2
"11","Jackson, Williamson, Franklin & Perry Counties PUMA; Illinois",186943,72162,3887,12164,12626,10616,9067,4188,7746,1727,2256,4224,2607,1054,"17","00900",36082,"15_to_19_min",7,5,1
"27","Knox, Stark, Bureau, Marshall & Woodford Counties PUMA; Illinois",146763,63167,4895,11876,8521,8348,7958,4229,6030,1976,2321,3785,2104,1124,"17","02501",31584,"15_to_19_min",7,5,2
"3","Rock Island County PUMA, Illinois",144784,64444,1832,8401,12811,14025,9987,5541,6486,1032,270,1455,1557,1047,"17","00105",32222,"15_to_19_min",7,4,2
"8","Douglas, Edgar, Coles & Cumberland Counties PUMA; Illinois",101478,44098,4168,9806,7657,4763,5180,2288,4151,837,1544,2119,1261,324,"17","00600",22050,"15_to_19_min",7,4,1
"17","Sangamon County--Springfield City PUMA, Illinois",197499,88197,3057,10439,16254,23245,14662,5474,7532,554,733,3096,1343,1808,"17","01300",44099,"15_to_19_min",7,4,2
"21","Tazewell County PUMA, Illinois",134385,62327,1703,8038,12627,9530,9987,5576,7583,1420,1205,2424,1126,1108,"17","01900",31164,"15_to_19_min",7,4,2
"24","Livingston, Ford, Iroquois & Vermilion Counties PUMA; Illinois",157864,62282,4720,10713,11535,9379,7752,2725,6002,1559,2628,2889,1504,876,"17","02200",31142,"15_to_19_min",7,4,1
"18","Macon County--Decatur City PUMA, Illinois",106550,44118,2112,8102,9186,10473,6938,1613,2018,86,369,1741,1036,444,"17","01500",22060,"15_to_19_min",7,3,1
"20","Peoria County--Peoria City PUMA, Illinois",185006,78891,1812,11238,16824,18808,13996,4663,6060,794,629,1908,1552,607,"17","01701",39446,"15_to_19_min",7,3,1
"22","McLean County PUMA, Illinois",172418,86984,2835,13934,20926,19633,12646,3081,4456,1463,1797,3431,1767,1015,"17","02000",43492,"15_to_19_min",7,3,1
"23","Champaign County--Champaign & Urbana Cities PUMA, Illinois",208419,100765,4077,11419,24578,22216,17883,6443,6854,1349,654,2841,1319,1132,"17","02100",50383,"15_to_19_min",7,2,1
